001| Chapuzas a domicilio | III - 1971 | 78pp
002| ¡Más tremendos cada día! | Abril - 1971 | 78pp
003| ¡Líos en la oficina! | Abril - 1971 | 78pp
004| ¡Problemas por doquier! | Abril - 1971 | 78pp
005| ¡Más tremendos cada día! | Abril - 1971 | 78pp
006| ¡Qué vida esta!! | Abril - 1971 | 78pp
007| Historietas cortas | III - 1971 | 78pp
008| ¡trabajitos finos! | III - 1971 | 78pp
009| Sus locuelas peripecias | III - 1971 | 78pp
010| los mini-terremotos | III - 1971 | 78pp
011| detectives de ocasion | III - 1971 | 78pp
012| historietas cortas | III - 1971 | 78pp
013| un mozo <<mu espabilao>> | III - 1971 | 78pp
014| la vista es la que trabaja | III - 1971 | 78pp
015| campeon del desatino | III - 1971 | 78pp
016| se da un garbeo por el mundo | III - 1971 | 78pp
017| enfermera de postin | III - 1971 | 78pp
018| dos agentes de recursos | III - 1971 | 78pp
019|"""heroino"" de estar por casa "| III - 1971 | 78pp
020| descanso imposible | III - 1971 | 78pp
021| historietas cortas | III - 1971 | 78pp
022| chapuceros de via estrecha | III - 1971 | 78pp
023| la casa de los mil chistes | III - 1971 | 78pp
024| tontorron de buena pasta | III - 1971 | 78pp
025| Historietas cortas | III - 1971 | 78pp
026| ¡Travesuras a mansalva! | III - 1971 | 78pp
027| Cocinando es un desastre | III - 1971 | 78pp
028| No hay lio que no resuelvan | III - 1971 | 78pp
029| ¡Siempre en apuros! | III - 1971 | 78pp
030| ¡Siempre a punto de comer! | III - 1971 | 78pp
031| Destrozos de artesania | III - 1971 | 78pp
032| Gansadas prehistoricas | III - 1971 | 78pp
033| <<majorettes>> del humor | III - 1971 | 78pp
034| Por amor a curruquita | III - 1971 | 78pp
035| Dos merluzos en accion | III - 1971 | 78pp
036| ¡Campeón del despiste! | III - 1971 | 78pp
037| por vocacion, trotamundos | III - 1971 | 78pp
038| Historietas cortas | III - 1971 | 78pp
039| Apuros domingueros | III - 1971 | 78pp
040| El -silencino- | III - 1971 | 78pp
041| los encarguitos del jefe | III - 1971 | 78pp
042| <<rollos>> a porrillo | III - 1971 | 78pp
043| las jugarretas de <<musculos>> | III - 1971 | 78pp
044| y su <<perro>> mundo | III - 1971 | 78pp
045| los sabuesos de la <<t.i.a>> | III - 1971 | 78pp
046| Historietas Cortas | III - 1971 | 78pp
047| El niño prodigio | III - 1971 | 78pp
048| los hermanos zapatilla | III - 1971 | 78pp
049| ¡nunca falla! | III - 1971 | 78pp
050| catastrofes surtidas | III - 1971 | 78pp
051| su mundo loco | III - 1971 | 78pp
052| <<herme>>, la juguetona | III - 1971 | 78pp
053| la pesadilla del <<dire>> | III - 1971 | 78pp
054|" Un ""encanto"" de criatura "| III - 1971 | 78pp
055| Un tipo <<despistadillo>> | III - 1971 | 78pp
056| La pensión de los garbanzos | III - 1971 | 78pp
057| ¡un susto tras otro! | III - 1971 | 78pp
058| Pisos de risa ilimitada | III - 1971 | 78pp
059| los apuros de don rosendo | III - 1971 | 78pp
060| <<manitas>> para el oficio | III - 1971 | 78pp
061| Peripecias cuaternarias | III - 1971 | 78pp
062| la oficina de la mala pata | III - 1971 | 78pp
063| la clinica <<el buen zurzido>> | III - 1971 | 78pp
064| investigan con teson | III - 1971 | 78pp
065| los apuros de don bollete | III - 1971 | 78pp
066| el secuestro del burgomaestre | III - 1971 | 78pp
067| Calamidad por duplicado | III - 1971 | 78pp
068| ingenioso y retozon | III - 1971 | 78pp
069| licencia para meter... la pata | III - 1971 | 78pp
070| guerra loca | III - 1971 | 78pp
071| tras la pista del ladrón | III - 1971 | 78pp
072| la isla de los chalados | III - 1971 | 78pp
073| la verruga de sivah | III - 1971 | 78pp
074| casos a capazos | III - 1971 | 78pp
075| los <<angelitos>> de don pantuflo | III - 1971 | 78pp
076| peripecias hogareñas | III - 1971 | 78pp
077| ¡travesuras a porrillo!! | III - 1971 | 78pp
078| Expertos en cualquier cosa | III - 1971 | 78pp
079| dos percebes en apuros | III - 1971 | 78pp
080| ¡catastrofes a granel! | III - 1971 | 78pp
081| ¡qué agencia de información! | III - 1971 | 78pp
082| Una pareja de alivio | III - 1971 | 78pp
083| Entre pistas y despistes | III - 1971 | 78pp
084| cataclismos sin fin | III - 1971 | 78pp
085| ases de la chapuza | III - 1971 | 78pp
086| cada viñeta, un trompazo | III - 1971 | 78pp
087| cada día una trifulca | III - 1971 | 78pp
088| Catástrofes catastróficas | III - 1971 | 78pp
089| la agencia de los desastres | III - 1971 | 78pp
090| disparates <<a gogó>> | III - 1971 | 78pp
091| sorpresas a mansalva | III - 1971 | 78pp
092| festival de carcajadas | III - 1971 | 78pp
093| risa todo el año | III - 1971 | 78pp
094| olimpiada del humor | III - 1971 | 78pp
095| jornadas moviditas | III - 1971 | 78pp
096| ¡siempre al pie del cañón! | III - 1971 | 78pp
097| mejores que james bond | III - 1971 | 78pp
098| ¡vaya par de percebes! | III - 1971 | 78pp
099| mamporros a discreción | III - 1971 | 78pp
100| Catarata de embrollos | III - 1971 | 78pp
101| coscorron tras coscorron | III - 1971 | 78pp
102| botando tras el botín | III - 1971 | 78pp
103| una pista que despista | III - 1971 | 78pp
104| de la <<c.i.a>> a la <<t.i.a>> | III - 1971 | 78pp
105| Un porrazo en cada esquina | III - 1971 | 78pp
106| siempre metidos en líos | III - 1971 | 78pp
107| no se gana para sustos | III - 1971 | 78pp
108| agentes de relumbrón | III - 1971 | 78pp
109| combinado de risas | III - 1971 | 78pp
110| peor que la marabunta | III - 1971 | 78pp
111| investigacion frustrada | III - 1971 | 78pp
112| los bromazos del jefe | III - 1971 | 78pp
113| zancadillas <<a gogó>> | III - 1971 | 78pp
114| travesuras hasta el tope | III - 1971 | 78pp
115| reprimenda inmerecida | III - 1971 | 78pp
116| del servicio secreto | III - 1971 | 78pp
117| siempre en guardia | III - 1971 | 78pp
118| brillantes examenes | III - 1971 | 78pp
119| sus casos tremebundos | III - 1971 | 78pp
120| vacaciones de perros | III - 1971 | 78pp
121| solos ante el peligro | III - 1971 | 78pp
122| peripecias sin fin | III - 1971 | 78pp
123| travesuras en común | III - 1971 | 78pp
124|" los agentes de la ""tia"" "| III - 1971 | 78pp
125| ¡vaya par de angelitos! | III - 1971 | 78pp
126| ¡qué vida tan tremenda! | III - 1971 | 78pp
127| torbellinos en acción | III - 1971 | 78pp
128| el caso del calcetín | III - 1971 | 78pp
129| un, dos, tres... travesuras otra vez | III - 1971 | 78pp
130| El brujo | III - 1971 | 78pp
131| una pareja de alivio | III - 1971 | 78pp
132| el terror de la oficina | III - 1971 | 78pp
133| ¡alarma! ¡alarma! ¡que vienen! | III - 1971 | 78pp
134| ¡vaya par de majaretas! | III - 1971 | 78pp
135| siempre causando problemas | III - 1971 | 78pp
136| se acabó la tranquilidad | III - 1971 | 78pp
