"Número"|"Personaje presentado"|"Fecha"|"Correspondencias USA"
"501"|"Solar"|"03/11/63"|""
"502"|"Lassie"|"10/11/63"|""
"503"|"Turok"|"17/11/63"|""
"504"|"Las Enfermeras (último SEA)"|"24/11/63"|""
"505"|"77 Sunset strip"|"01/12/63"|""
"506"|"Dimensión Desconocida"|"08/12/63"|""
"507"|"Turok"|"15/12/63"|""
"508"|"Lassie"|"22/12/63"|""
"509"|"Magnus"|"29/12/63"|""
"510"|"Boris Karloff"|"05/01/64"|""
"511"|"Los tres Chiflados"|"12/01/64"|""
"512"|"Solar"|"19/01/64"|""
"513"|"La familia Robinson"|"26/01/64"|""
"514"|"Mister Ed"|"02/02/64"|""
"515"|"Los Detectives"|"09/02/64"|""
"516"|"Turok"|"16/02/64"|""
"517"|"Boris Karloff (sello ""N"")"|"23/02/64"|""
"518"|"Magnus"|"01/03/64"|""
"519"|"Furia"|"08/03/64"|""
"520"|"Turok"|"15/03/64"|""
"521"|"Dimensión Desconocida"|"22/03/64"|""
"522"|"Laramie"|"29/03/64"|""
"523"|"Lassie ( redición Num. 41 )"|"05/04/64"|""
"524"|"Turok"|"12/04/64"|""
"525"|"Boris Karloff"|"19/04/64"|""
"526"|"Magnus"|"26/04/64"|""
"527"|"La familia Robinson"|"03/04/64"|""
"528"|"Mister Ed"|"10/04/64"|""
"529"|"Turok"|"17/05/64"|""
"530"|"Los tres Chiflados"|"24/05/64"|""
"531"|"Lassie"|"31/05/64"|""
"532"|"Magnus"|"07/06/64"|""
"533"|"Turok"|"14/06/64"|""
"534"|"Solar (último comic N)"|"21/06/64"|""
"535"|"Lassie"|"28/06/64"|""
"536"|"Lassie"|"05/07/64"|""
"537"|"Mister Ed"|"12/07/64"|""
"538"|"Boris Karloff"|"19/07/64"|""
"539"|"Lassie"|"26/07/64"|""
"540"|"Turok"|"02/08/64"|""
"541"|"Solar"|"09/08/64"|""
"542"|"La familia Robinson"|"16/08/64"|""
"543"|"Dimensión Desconocida"|"23/08/64"|""
"544"|"Turok"|"30/08/64"|""
"545"|"77 Sunset Strip"|"06/09/64"|""
"546"|"La familia Robinson"|"13/09/64"|""
"547"|"Lassie"|"20/09/64"|""
"548"|"Jim de la Selva"|"27/09/64"|""
"549"|"Turok"|"04/10/64"|""
"550"|"Lassie"|"11/10/64"|""
"551"|"La familia Robinson"|"18/10/64"|""
"552"|"Magnus"|"25/10/64"|""
"553"|"Dimensión desconocida"|"01/11/64"|""
"554"|"Solar"|"08/11/64"|""
"555"|"Turok"|"15/11/64"|""
"556"|"Lassie ( redición Num. 33 )"|"22/11/64"|""
