"Número"|"Personaje presentado"|"Fecha"|"Correspondencias USA"
"1001"|"Rin tin tin"|"29/07/73"|""
"1002"|"Trucutu"|"05/08/73"|""
"1003"|"Ferd nand"|"12/08/73"|""
"1004"|"Los gemelos de la selva"|"19/08/73"|""
"1005"|"Rin tin tin"|"26/08/73"|""
"1006"|"El Capitán Águila"|"02/09/73"|""
"1007"|"Ferd nand"|"09/09/73"|""
"1008"|"Rin tin tin"|"16/09/73"|""
"1009"|"Dagar el Invencible"|"23/09/73"|""
"1010"|"La hermandad de la lanza"|"30/09/73"|""
"1011"|"Ripley Aunque Ud. No lo crea"|"07/10/73"|""
"1012"|"Boris Karloff"|"14/10/73"|""
"1013"|"Rin tin tin ( Redición Num.365 )"|"21/10/73"|""
"1014"|"Ripley Aunque Ud. No lo crea"|"28/10/73"|""
"1015"|"Trucutu"|"04/11/73"|""
"1016"|"Dagar el Invencible"|"11/11/73"|""
"1017"|"Rin Tin Tin"|"18/11/73"|""
"1018"|"Dimensión Desconocida"|"25/11/73"|""
"1019"|"El Capitán Águila"|"02/12/73"|""
"1020"|"Lassie"|"09/12/73"|""
"1021"|"Dagar el Invencible"|"16/12/73"|""
"1022"|"Los gemelos de la selva"|"23/12/73"|""
"1023"|"Boris Karloff"|"30/12/73"|""
"1024"|"Ripley Aunque Ud. No lo crea"|"06/01/74"|""
"1025"|"La hermandad de la lanza"|"13/01/74"|""
"1026"|"Lassie"|"20/01/74"|""
"1027"|"Los gemelos de la selva"|"27/01/74"|""
"1028"|"Dimensión Desconocida"|"03/02/74"|""
"1029"|"Boris Karloff"|"10/02/74"|""
"1030"|""|"17/02/74"|""
"1031"|"Paco Perico"|"24/02/74"|""
"1032"|"Los gemelos de la selva"|"03/03/74"|""
"1033"|"Los pequeños monstruos"|"10/03/74"|""
"1034"|"Lassie"|"17/03/74"|""
"1035"|"Ripley Aunque Ud. No lo crea"|"23/03/74"|""
"1036"|"Bip bip"|"30/03/74"|""
"1037"|"Paco Perico"|"07/04/74"|""
"1038"|"Dimensión Desconocida"|"14/04/74"|""
"1039"|"Speedy González"|"21/04/74"|""
"1040"|""|"28/04/74"|""
"1041"|"El corredor Mod"|"05/05/74"|""
"1042"|"Los gemelos de la selva"|"12/05/74"|""
"1043"|""|"19/05/74"|""
