Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 100 Contraportada| Fiel Amigo Colección de Fichas de Perros de Raza 39 Montañés de los Pirineos Anverso p75 datos Reverso p76 Foto del perro Editorial Bruguera|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 11-16| Astrolito Sin título1 Planes para la Luna Sin título2 Hambre Enrich|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 17-19| Crispín Sin título1 En el Oeste Enrich|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 02| Pasatiempos Pulgarcito + mancheta de la revista Cervantes|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 20| Superior| Chiste extranjero niños perro tv Inferior| Anuncio Tarta de Fresa productos 50ts hasta 19840531 Fecha meses antes que la revista|
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 21-25| El Profesor Tragacanto Sin título1 Pájaros y fútbol Sin título2 Cambio de notas Martz-Schmidt|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 26| Los 7 errores Pulgarcito y hermanos sentados Cervantes; Jan|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 27| Superior| Anuncio Estuches Vipo s.a. portadas Mortadelo Inferior| Chispita chiste ?|
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 28-29| Pulgarcito os cuenta una Fábula El Asno Sesudo Félix María Samaniego; Martínez-Osete|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 30-32| Los Empollones Sin título1 El Administrador se queda a comer Rafael Vaquer|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 3-10| Pájaro Loco en...¡Cuidado con los juguetes!Sin numerito Traductora| Mercedes Blanco Western Publishing; Walter Lanz Productions||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 33| Cosas de Angelita Sin título1 Desodorante para el perro ?|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 34-44| D'Artacan y los Tres Mosqueperros Milady La Hipnotizadora Episodio 2º BRB|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 45| Pasatiempos Pulgarcito Cervantes|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 46-47| ¡Esta es tu página, amiguito! Dibujos de lectores y lectoras Pájaro Loco; Zipi y Zape|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 48-50| Anibal Sin título1 La perrita Marilyn Roja$ De La Cámara|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 51-74| Cinco Amiguetes Una Historia de Vacaciones Cazadores La Mina y el Gorila Jaume Rovira|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág 01AÑO IIII 100 pts||||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pág Portada| Pájaro Loco, Piquín y Cocol Cuento para dormir Western Publishing; Walter Lanz Productions|||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pulgarcito 42 Editorial Bruguera||||
Pág PULGARCITO 119 Septiembre 1983+ PULGARCITO 51 + PULGARCITO 42|Pulgarcito 51 Editorial Bruguera||||
PULGARCITO  42 (21/12/1981) 19811221|AÑO I 60 pts||||
